Date	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
7/1/96	98	86	91	84	89	85	90	90	73	83	91	93	95	85	95	87	92	105	82	90
7/2/96	97	90	88	82	92	87	90	90	81	81	89	94	85	87	90	84	94	93	85	93
7/3/96	97	93	91	87	94	87	87	87	87	86	86	94	82	91	89	83	95	99	76	87
7/4/96	90	92	91	88	95	85	89	89	86	88	86	92	86	90	91	85	92	98	77	84
7/5/96	89	84	91	90	96	86	93	93	80	90	89	90	88	88	80	88	90	100	83	86
7/6/96	93	84	89	91	96	87	94	94	84	90	82	81	87	82	87	89	90	98	83	87
7/7/96	94	75	93	83	96	87	89	89	87	89	76	80	82	88	86	94	94	93	79	89
7/8/96	91	87	95	86	92	89	89	89	90	87	88	82	82	90	82	97	94	95	88	90
7/9/96	93	85	95	87	96	91	90	90	89	88	89	84	89	89	84	96	91	97	88	90
7/10/96	93	87	94	87	99	87	91	91	85	89	78	85	86	87	84	90	92	95	87	87
7/11/96	90	85	92	83	96	90	85	85	85	90	83	90	85	89	86	93	95	90	80	85
7/12/96	92	88	86	77	93	90	77	77	86	89	86	91	87	93	90	90	95	84	87	90
7/13/96	93	86	88	74	92	86	83	83	87	91	84	92	86	85	84	91	97	90	78	89
7/14/96	93	90	87	81	94	83	88	88	84	92	87	92	84	88	89	91	90	90	85	90
7/15/96	83	91	92	81	94	83	91	91	86	85	84	91	81	89	89	94	80	90	86	86
7/16/96	91	91	87	86	94	85	93	93	88	85	85	91	86	89	90	89	85	92	87	83
7/17/96	96	89	90	82	94	87	94	94	88	84	89	93	89	88	88	87	87	93	91	86
7/18/96	95	89	92	87	98	88	93	93	88	87	90	94	89	90	82	83	89	93	87	82
7/19/96	96	89	95	88	100	90	94	94	88	85	89	96	88	91	80	90	94	91	90	85
7/20/96	99	90	92	90	99	87	92	92	88	88	89	93	86	94	82	91	91	84	86	76
7/21/96	91	89	91	90	93	84	95	95	89	89	90	94	86	95	86	94	92	90	87	82
